"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","x"
0,0,0,0,3,5,3,4,11,5,4,4,14,12,7,6,6,2,2,2,1
0,0,0,0,1,1,1,7,9,8,7,12,13,23,19,9,14,14,15,10,1
19,17,2,1,0,3,1,4,2,3,0,1,1,4,3,7,7,6,8,0,0
3,4,3,0,0,3,2,3,3,0,6,6,0,0,0,0,0,0,0,0,0
9,6,0,4,5,8,3,7,15,32,23,8,13,6,2,2,8,3,3,2,1
2,3,2,1,2,2,4,5,6,3,1,1,2,1,2,2,0,0,0,0,1
5,5,1,0,0,0,0,0,0,0,0,0,0,0,4,6,1,1,0,5,0
2,5,4,0,6,7,12,49,126,93,36,119,152,132,88,45,21,10,23,51,1
5,2,2,1,4,6,5,3,0,1,3,2,0,1,2,3,0,8,10,7,0
27,35,32,28,27,25,21,15,16,56,71,108,115,133,72,26,25,49,35,13,1
0,1,1,4,4,3,3,3,5,17,5,3,1,2,6,12,11,8,6,0,0
15,16,10,11,22,14,6,13,14,19,11,13,17,15,16,10,16,17,6,15,0
4,4,7,9,17,20,12,4,5,10,5,4,10,8,4,8,8,4,10,11,0
2,7,7,4,0,6,14,6,7,5,3,4,9,12,17,4,8,7,1,3,0
1,3,3,5,8,1,2,4,6,10,7,3,2,7,6,0,6,7,1,0,0
6,6,5,17,10,6,6,7,14,10,8,12,18,15,10,10,6,6,11,12,0
1,0,0,0,0,0,5,6,2,6,6,8,7,3,0,3,7,17,13,18,1
0,0,1,3,3,3,10,12,8,4,5,4,2,6,8,3,1,1,0,5,0
0,2,3,3,0,1,1,1,2,1,0,0,1,1,4,5,0,3,9,3,0
6,2,2,3,2,7,3,0,1,2,2,1,5,7,3,4,2,5,3,5,0
0,2,0,7,7,3,5,5,0,0,6,6,5,6,1,3,3,4,4,3,1
6,9,2,2,5,40,2,5,11,6,6,4,3,2,1,1,1,1,3,4,1
1,1,0,0,0,0,0,0,0,0,0,0,4,10,7,7,0,2,5,4,0
1,1,0,3,5,3,2,2,2,2,1,3,4,6,3,6,5,2,0,0,0
0,3,1,0,1,0,1,0,0,0,2,3,1,0,0,1,2,1,0,0,0
5,5,0,0,0,0,0,0,0,0,0,0,41,18,0,0,0,0,0,0,0
4,2,0,10,7,6,6,2,4,4,8,5,4,3,0,3,8,5,0,0,0
0,0,2,2,3,3,0,0,10,15,15,22,20,16,15,9,7,8,7,12,0
5,10,12,15,9,4,5,7,3,7,15,7,1,4,6,9,6,9,13,8,0
1,0,5,6,9,5,10,15,11,8,16,18,7,9,9,6,5,7,10,12,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
