V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
30,16,6,3,12,13,9,17,13,11,15,11,6,4,8,17,8,5,2,3
20,15,33,40,35,28,34,54,96,134,119,90,106,68,19,19,6,12,16,23
154,149,119,123,142,125,141,122,95,63,71,79,56,27,16,19,18,35,29,14
8,6,5,6,2,1,14,45,44,33,43,34,26,10,0,2,3,6,5,3
3,2,8,15,7,10,23,82,88,56,73,79,54,19,0,8,15,20,14,4
15,16,26,28,21,12,8,9,47,48,52,90,65,19,15,16,23,18,13,29
6,4,4,4,3,4,2,18,44,50,32,12,2,2,2,0,4,4,1,1
41,35,27,19,36,40,32,20,18,21,30,33,173,287,221,196,132,0,92,310
0,2,7,9,5,13,29,37,38,87,83,57,52,43,9,3,2,9,13,7
25,91,116,61,50,66,45,45,113,156,91,66,67,29,24,13,10,18,22,8
6,9,14,15,9,4,3,27,70,66,69,75,45,15,1,5,17,20,11,2
220,163,26,104,143,114,197,195,130,62,38,24,23,32,27,27,12,11,23,33
15,25,35,20,9,12,18,81,180,178,163,141,52,9,12,7,18,20,12,3
4,12,18,25,13,12,34,93,119,123,97,105,72,25,8,7,8,6,5,1
15,17,8,9,31,73,66,60,124,142,106,66,47,41,25,17,29,36,65,57
2,6,8,11,13,10,10,21,69,62,77,83,54,14,0,2,9,21,12,3
7,4,7,15,16,8,11,9,20,29,28,43,39,18,7,8,4,15,15,2
8,9,12,15,16,12,9,32,95,159,106,82,67,26,7,3,13,28,25,19
42,90,199,579,655,474,571,455,282,215,117,70,41,14,26,54,64,27,12,5
164,122,80,116,144,152,151,158,97,56,84,60,26,19,18,9,20,19,16,34
1,9,18,10,0,0,0,1,2,2,0,1,2,2,2,1,3,2,2,0
0,0,4,8,9,6,6,63,96,55,44,56,36,21,10,7,2,19,22,10
21,17,14,8,6,5,31,53,76,88,112,156,63,49,24,12,8,22,34,30
10,7,17,20,19,22,45,83,124,109,144,108,27,54,66,79,86,63,73,78
28,13,11,12,11,13,11,31,84,95,50,22,25,16,19,21,23,32,34,20
22,2,8,21,21,25,43,59,62,70,61,40,22,25,24,17,6,21,18,16
160,48,28,16,14,36,49,162,218,169,186,109,101,82,25,21,30,36,55,97
7,14,13,6,21,56,103,80,95,97,98,95,120,77,82,79,42,39,32,40
